AISI 4340,,5_6_b_AISI,,,https://drive.google.com/drive/folders/1iEafRVw3G_7GQBgwjj3xRRLBNqeueGCl,0.391,0.68,0.329,0.83,0.0021,0.0073,0.204,,1.66,,,,,,,,,,Austenizing → normalizing,1,,,,,950,120,,,,,air,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISI 4340,,5_7_a_AISI,,,https://drive.google.com/drive/folders/1WuezoqC2vneHn4iI5GetSwi9ysacF253,0.391,0.68,0.329,0.83,0.0021,0.0073,0.204,,1.66,,,,,,,,,,Austenizing → oil quenched,1,,,,,900,120,,,,,oil,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISI 4340,,5_7_b_AISI,,,https://drive.google.com/drive/folders/1u6JA26mt2nzPWqdOaFm7iWxsGOeBUG3A,0.391,0.68,0.329,0.83,0.0021,0.0073,0.204,,1.66,,,,,,,,,,Austenizing → oil quenched,1,,,,,950,120,,,,,oil,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RE-microalloyed DP steel,,7_5_a1_RE-microalloyed DP steel,,,https://drive.google.com/drive/folders/1yH1KD2hwBgtb_JKnmUnFifUfGybeofl3,0.19,1.6,0.4,0.15,0.01,0.005,0.05,,,0.035,,,,,Nb 0.02,0.0012,0.015,,,3,,,,,880,20,,,,,water,25,NA,,780,20,,,,,water ,25,,,250,40,,,,,air,25,,,,,,,,,,,
RE-microalloyed DP steel,,7_5_b1_RE-microalloyed DP steel,,,https://drive.google.com/drive/folders/1NKG8_1yjALzEBb7aaNgey-si87DUuIXu,0.19,1.6,0.4,0.15,0.01,0.005,0.05,,,0.035,,,,,Nb 0.03,0.0012,0.015,,,3,,,,,880,20,,,,,water,25,NA,,800,20,,,,,water ,25,,,250,40,,,,,air,25,,,,,,,,,,,
RE-microalloyed DP steel,,7_5_c1_RE-microalloyed DP steel,,,https://drive.google.com/drive/folders/1Al0uFmHND08ey-MaCPatP-Sj_cpPdpWK,0.19,1.6,0.4,0.15,0.01,0.005,0.05,,,0.035,,,,,Nb 0.04,0.0012,0.015,,,3,,,,,880,20,,,,,water,25,NA,,820,20,,,,,water ,25,,,250,40,,,,,air,25,,,,,,,,,,,
RE-microalloyed DP steel,,7_5_d1_RE-microalloyed DP steel,,,https://drive.google.com/drive/folders/1a4jlGwgmC9xv34Et1fJwYGoMf6TbLdTZ,0.19,1.6,0.4,0.15,0.01,0.005,0.05,,,0.035,,,,,Nb 0.05,0.0012,0.015,,,3,,,,,880,20,,,,,water,25,NA,,840,20,,,,,water ,25,,,250,40,,,,,air,25,,,,,,,,,,,
Commercial-Grade API 5CT Steel ,,7_4_a_Commercial-GradeAPI5CTSteel ,,,,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,,,Austenizing → water quench,1,,,,,730,2,,,,,water,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel ,,7_4_b_Commercial-GradeAPI5CTSteel ,,,,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,,,Austenizing → water quench,1,,,,,730,5,,,,,water,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel ,,7_4_c_Commercial-GradeAPI5CTSteel ,,,,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,,,Austenizing → water quench,1,,,,,730,10,,,,,water,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel ,,7_4_d_Commercial-GradeAPI5CTSteel ,,,,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,,,Austenizing → water quench,1,,,,,730,20,,,,,water,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel ,,7_4_e_Commercial-GradeAPI5CTSteel ,,,,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,,,Austenizing → water quench,1,,,,,760,2,,,,,water,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel ,,7_4_f_Commercial-GradeAPI5CTSteel ,,,,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,,,Austenizing → water quench,1,,,,,760,5,,,,,water,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel ,,7_4_g_Commercial-GradeAPI5CTSteel ,,,,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,,,Austenizing → water quench,1,,,,,760,10,,,,,water,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel ,,7_4_h_Commercial-GradeAPI5CTSteel ,,,,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,,,Austenizing → water quench,1,,,,,760,20,,,,,water,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel ,,7_4_i_Commercial-GradeAPI5CTSteel ,,,,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,,,Austenizing → water quench,1,,,,,790,2,,,,,water,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel ,,7_4_j_Commercial-GradeAPI5CTSteel ,,,,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,,,Austenizing → water quench,1,,,,,790,5,,,,,water,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel ,,7_4_k_Commercial-GradeAPI5CTSteel ,,,,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,,,Austenizing → water quench,1,,,,,790,10,,,,,water,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel ,,7_4_l_Commercial-GradeAPI5CTSteel ,,,,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,,,Austenizing → water quench,1,,,,,790,20,,,,,water,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP-LAS,,8_5_A_DP-LAS,,,https://drive.google.com/drive/folders/1Z5v1DWkXP-gdEnau-xagS0JixviuM8zx,0.17,1.3,0.24,,,,,,0.97,,,,,,,,,,,2,hot rolling,1050,69,,900,30,,,,,furnace ,25,,,770,30,,,,,ice water,0,,,,,,,,,,,,,,,,,,,,,
DP-LAS,,8_5_B_DP-LAS,,,https://drive.google.com/drive/folders/1RLTsWSjelHYpHohz6z9Afpezh7fqkPwq,0.17,1.3,0.24,,,,,,0.97,,,,,,,,,,,3,hot rolling,1050,69,,900,30,,,,,furnace ,25,,,770,30,,,,,ice water,0,,,550,20,,,,,air,25,,,,,,,,,,,
Ultrafine-grained DP,,9_3_a_Ultrafine-grained DP,,,https://drive.google.com/drive/folders/1FTLbvQnDt2JCQ5a92h0IOmTADjlzOAEE,0.19,1.01,1.46,,,,,,,,,,,,,,,,,2,,,,,920,60,,,,,water,25,,,820,10,,,,,water,25,,,,,,,,,,,,,,,,,,,,,
Ultrafine-grained DP,,9_3_b_Ultrafine-grained DP,,,https://drive.google.com/drive/folders/11dbO7s-AOpAbfHihjZRrXdRsHrhCR26n,0.19,1.01,1.46,,,,,,,,,,,,,,,,,2,,,,,920,60,,,,,water,25,,,820,10,,cold rolling,,85,water,25,,,,,,,,,,,,,,,,,,,,,
Ultrafine-grained DP,,9_4_a_Ultrafine-grained DP,,,https://drive.google.com/drive/folders/1Xi6rHlLM7K-S5C5S9KDQSE62fa4I-WIi,0.19,1.01,1.46,,,,,,,,,,,,,,,,,3,,,,,920,60,,,,,water,25,,,820,10,,cold rolling,,85,water,25,,,780,1.5,,,,,water,25,,,,,,,,,,,
Ultrafine-grained DP,,9_4_b_Ultrafine-grained DP,,,https://drive.google.com/drive/folders/18wuq3ftT7MhNEqb3Ehm3815xdkOEQjPw,0.19,1.01,1.46,,,,,,,,,,,,,,,,,3,,,,,920,60,,,,,water,25,,,820,10,,cold rolling,,85,water,25,,,800,1.5,,,,,water,25,,,,,,,,,,,
Ultrafine-grained DP,,9_4_c_Ultrafine-grained DP,,,https://drive.google.com/drive/folders/1dQMXBF8Zr6LwB4FNonV2hW3hrgVzxrjF,0.19,1.01,1.46,,,,,,,,,,,,,,,,,3,,,,,920,60,,,,,water,25,,,820,10,,cold rolling,,85,water,25,,,820,1.5,,,,,water,25,,,,,,,,,,,
4340 low-alloy steels,,10_2_a_4340 low-alloy steels,,,https://drive.google.com/drive/folders/1lv929bdiV3ELOXmZEDWlh-4Wh1j6Rcmw,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,,,,2,,,,,860,60,,,,,forced air,25,,,720,30,,,,,water,25,,,,,,,,,,,,,,,,,,,,,
4340 low-alloy steels,,10_2_b_4340 low-alloy steels,,,https://drive.google.com/drive/folders/1vV-vPiqGWRrwAy-K51kwzjFghknv2IM2,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,,,,2,,,,,860,60,,,,,forced air,25,,,750,30,,,,,water,25,,,,,,,,,,,,,,,,,,,,,
4340 low-alloy steels,,10_2_c_4340 low-alloy steels,,,https://drive.google.com/drive/folders/1du8viVlwG3AdmmnXEdYWd846Rkxv93RP,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,,,,2,,,,,860,60,,,,,forced air,25,,,780,30,,,,,water,25,,,,,,,,,,,,,,,,,,,,,
4340 low-alloy steels,,10_2_d_4340 low-alloy steels,,,https://drive.google.com/drive/folders/1N2yHlEQ7ezTQhFCQtqf2d1U4hcfSesDY,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,,,,2,,,,,860,60,,,,,forced air,25,,,810,30,,,,,water,25,,,,,,,,,,,,,,,,,,,,,
4340 low-alloy steels,,10_2_e_4340 low-alloy steels,,,https://drive.google.com/drive/folders/1tMa-mQ27bH4fXvCqjyxR0MTP026eN5au,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,,,,2,,,,,860,60,,,,,forced air,25,,,840,30,,,,,water,25,,,,,,,,,,,,,,,,,,,,,
4340 low-alloy steels,,10_4_a_4340 low-alloy steels,,,https://drive.google.com/drive/folders/1KX4d4JAEGXP5s2gT5gbaioRvpG5GO5-g,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,,,,3,,,,,860,60,,,,,forced air,25,,,720,30,,,,,water,25,,,500,120,,,,,water,25,,,,,,,,,,,
4340 low-alloy steels,,10_4_b_4340 low-alloy steels,,,https://drive.google.com/drive/folders/1DR1vd5_dfTGDEGE8cXn5zSww1azbz4Ak,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,,,,3,,,,,860,60,,,,,forced air,25,,,750,30,,,,,water,25,,,500,120,,,,,water,25,,,,,,,,,,,
4340 low-alloy steels,,10_4_c_4340 low-alloy steels,,,https://drive.google.com/drive/folders/1MhE3-sOFnGD8glCpgD3pQmoZYxUgAXPA,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,,,,3,,,,,860,60,,,,,forced air,25,,,780,30,,,,,water,25,,,500,120,,,,,water,25,,,,,,,,,,,
4340 low-alloy steels,,10_4_d_4340 low-alloy steels,,,https://drive.google.com/drive/folders/1XpxLfrtgrNjR771ZmZZviinNkWAKB0pI,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,,,,3,,,,,860,60,,,,,forced air,25,,,810,30,,,,,water,25,,,500,120,,,,,water,25,,,,,,,,,,,
4340 low-alloy steels,,10_4_e_4340 low-alloy steels,,,https://drive.google.com/drive/folders/1M1BlDdzNlv1adfMhSBD9VURJFnOIAzE3,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,,,,3,,,,,860,60,,,,,forced air,25,,,840,30,,,,,water,25,,,500,120,,,,,water,25,,,,,,,,,,,
440C MSS,,11_1_a_440CMSS,,,https://drive.google.com/drive/folders/1_iK_lpe6Mr6he5vxP84ur_L04y8xV4v0,1.19,0.448,0.571,15.86,0.0307,0.0237,0.816,,0.33,,,,,,V=0.549+W=0.186+N=0.1,,,,Austenizing → water quenching →tempered →air cooled,2,,,,,1050,60,,,,,water,25,,,350,30,,,,,air,25,,,,,,,,,,,,,,,,,,,,,
440C MSS,,11_1_b_440CMSS,,,https://drive.google.com/drive/folders/15o29sxhNJNXpGW0fH1U9Jtq0ECo5dGNe,1.19,0.448,0.571,15.86,0.0307,0.0237,0.816,,0.33,,,,,,V=0.549+W=0.186+N=0.1,,,,Austenizing → water quenching →tempered →air cooled,2,,,,,1100,60,,,,,water,25,,,350,30,,,,,air,25,,,,,,,,,,,,,,,,,,,,,
440C MSS,,11_1_c_440CMSS,,,https://drive.google.com/drive/folders/1A1D_0tEd6A0O0wYBtvlX76VFww_HpL0B,1.19,0.448,0.571,15.86,0.0307,0.0237,0.816,,0.33,,,,,,V=0.549+W=0.186+N=0.1,,,,Austenizing → water quenching →tempered →air cooled,2,,,,,1125,60,,,,,water,25,,,350,30,,,,,air,25,,,,,,,,,,,,,,,,,,,,,
440C MSS,,11_1_d_440CMSS,,,https://drive.google.com/drive/folders/1Pb4g3QDvaqEgf3vQ7nTbUAvnli4xs1_r,1.19,0.448,0.571,15.86,0.0307,0.0237,0.816,,0.33,,,,,,V=0.549+W=0.186+N=0.1,,,,Austenizing → water quenching →heated→ water quenching →tempered →air cooled,3,,,,,1200,60,,,,,water,25,,,900,60,,,,,water,25,,,350,30,,,,,air,25,,,,,,,,,,,
34CrNiMo6,,12_9_a1_34CrNiMo6,,,https://drive.google.com/drive/folders/1SxmyMa4WTkrxNdzE2l_SiASzQUPeFJqU,0.34,0.5,0.4,1.5,,,0.25,,1.5,,,,,,,,,,Austenizing → oil quenching →tempered →air cooled,2,,,,,830,60,,,,,oil,25,,,460,120,,,,,air,25,,,,,,,,,,,,,,,,,,,,,
34CrNiMo6,,12_9_a2_34CrNiMo6,,,https://drive.google.com/drive/folders/1zjnIJ0fFO70W3MWVrkeQCfEMDtm90Cmq,0.34,0.5,0.4,1.5,,,0.25,,1.5,,,,,,,,,,Austenizing → oil quenching →tempered →air cooled,2,,,,,850,60,,,,,oil,25,,,460,120,,,,,air,25,,,,,,,,,,,,,,,,,,,,,
34CrNiMo6,,12_9_b1_34CrNiMo6,,,https://drive.google.com/drive/folders/1jzB7V3vifuPd1veaLPXZc91EEa-0Io0O,0.34,0.5,0.4,1.5,,,0.25,,1.5,,,,,,,,,,Austenizing → oil quenching →tempered →air cooled,2,,,,,830,60,,,,,oil,25,,,500,120,,,,,air,25,,,,,,,,,,,,,,,,,,,,,
34CrNiMo6,,12_9_b2_34CrNiMo6,,,https://drive.google.com/drive/folders/1WstlNfTPaoMXZ8zUQJXQbowU303huC_v,0.34,0.5,0.4,1.5,,,0.25,,1.5,,,,,,,,,,Austenizing → oil quenching →tempered →air cooled,2,,,,,850,60,,,,,oil,25,,,500,120,,,,,air,25,,,,,,,,,,,,,,,,,,,,,
34CrNiMo6,,12_9_c1_34CrNiMo6,,,https://drive.google.com/drive/folders/1wwnz4_uWpXqnrLIrXe4QZrvBssAtWeJx,0.34,0.5,0.4,1.5,,,0.25,,1.5,,,,,,,,,,Austenizing → oil quenching →tempered →air cooled,2,,,,,830,60,,,,,oil,25,,,540,120,,,,,air,25,,,,,,,,,,,,,,,,,,,,,
34CrNiMo6,,12_9_c2_34CrNiMo6,,,https://drive.google.com/drive/folders/1F2StDXxiNzi3vkOa3I_aVkWlNv4V44wE,0.34,0.5,0.4,1.5,,,0.25,,1.5,,,,,,,,,,Austenizing → oil quenching →tempered →air cooled,2,,,,,850,60,,,,,oil,25,,,540,120,,,,,air,25,,,,,,,,,,,,,,,,,,,,,
34CrNiMo6,,12_9_d1_34CrNiMo6,,,https://drive.google.com/drive/folders/1grfssH5XBCoQdxyir94qakFYvZKHZ8MJ,0.34,0.5,0.4,1.5,,,0.25,,1.5,,,,,,,,,,Austenizing → oil quenching →tempered →air cooled,2,,,,,830,60,,,,,oil,25,,,580,120,,,,,air,25,,,,,,,,,,,,,,,,,,,,,
34CrNiMo6,,12_9_d2_34CrNiMo6,,,https://drive.google.com/drive/folders/1Szqk_uPSO5WhKdcBVzQQ4kk8FjcvWj-J,0.34,0.5,0.4,1.5,,,0.25,,1.5,,,,,,,,,,Austenizing → oil quenching →tempered →air cooled,2,,,,,850,60,,,,,oil,25,,,580,120,,,,,air,25,,,,,,,,,,,,,,,,,,,,,
X52 HSLA steel,,,,,,0.12,1.22,0.23,,,,,,,,0.03,0.03,0.002,Balance ,,,,,Polished→Austenizing→water quench→intercritical annealing→water quench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X52 HSLA steel,,,,,,0.12,1.22,0.23,,,,,,,,0.03,0.03,0.002,Balance ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X52 HSLA steel,,,,,,0.12,1.22,0.23,,,,,,,,0.03,0.03,0.002,Balance ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X52 HSLA steel,,,,,,0.12,1.22,0.23,,,,,,,,0.03,0.03,0.002,Balance ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X52 HSLA steel,,,,,,0.12,1.22,0.23,,,,,,,,0.03,0.03,0.002,Balance ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X52 HSLA steel,,,,,,0.12,1.22,0.23,,,,,,,,0.03,0.03,0.002,Balance ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
