group_key,group_size,id,alloy,cycle1_holdingtemp_degc,cycle1_holdingtime_min,article_url,original_image,ai_cleaned_image,augumented_data,c,mn,si,cr,p,s,mo,cu,ni,al,nb,v,ti,ti_nb_v,b,ce_la,fe,pixel_size,heat_treatment_type,num_cycles,cycle0_rolling,cycle0_rtemp,cycle0_rpercentage,cycle1_hrate_degc_min,cycle1_crate_degc_s,cycle1_rolling,cycle1_rtemp,cycle1_rpercentage,cycle1_qtype,cycle1_qtemp,cycle1_qtime_min,cycle2_hrate_degc_min,cycle2_holdingtemp_degc,cycle2_holdingtime_min,cycle2_crate_degc_s,cycle2_rolling,cycle2_rtemp_degc,cycle2_rpercentage,cycle2_qtype,cycle2_qtemp_degc,cycle2_qtime_min,cycle3_hrate_degc_min,cycle3_holdingtemp_degc,cycle3_holdingtime_min,cycle3_crate_degc_s,cycle3_rolling,cycle3_rtemp,cycle3_rpercentage,cycle3_qtype,cycle3_qtemp,cycle3_qtime,cycle4_hrate_degc_min,cycle4_holdingtemp_degc,cycle4_holdingtime_min,cycle4_crate_degc_s,cycle4_rolling,cycle4_rtemp,cycle4_rpercentage,cycle4_qtype,cycle4_qtemp,cycle4_qtime
Commercial-Grade API 5CT Steel __760.0__10.0,1,7_4_g_Commercial-GradeAPI5CTSteel,Commercial-Grade API 5CT Steel ,760.0,10.0,,,,https://drive.google.com/drive/folders/130QNUOp1N-KYlc7hakusBzKgqrqOTooY,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,98.03,,Austenizing → water quench,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel __760.0__20.0,1,7_4_h_Commercial-GradeAPI5CTSteel,Commercial-Grade API 5CT Steel ,760.0,20.0,,,,https://drive.google.com/drive/folders/1qCtX8BaznEqrS5DTeieNwzuRsrhqqSpb,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,98.03,,Austenizing → water quench,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel __790.0__2.0,1,7_4_i_Commercial-GradeAPI5CTSteel,Commercial-Grade API 5CT Steel ,790.0,2.0,,,,https://drive.google.com/drive/folders/1DyBZzwypKDwqBFYrKXreILyzV3XxHIpc,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,98.03,,Austenizing → water quench,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel __790.0__5.0,1,7_4_j_Commercial-GradeAPI5CTSteel,Commercial-Grade API 5CT Steel ,790.0,5.0,,,,https://drive.google.com/drive/folders/1O2ULUTBLc7J8_QueOEsiGfHgjCtlVQcO,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,98.03,,Austenizing → water quench,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel __790.0__10.0,1,7_4_k_Commercial-GradeAPI5CTSteel,Commercial-Grade API 5CT Steel ,790.0,10.0,,,,https://drive.google.com/drive/folders/1XfAuxJR3blMIKFx9CELObwZwcBGmHg7Z,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,98.03,,Austenizing → water quench,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial-Grade API 5CT Steel __790.0__20.0,1,7_4_l_Commercial-GradeAPI5CTSteel,Commercial-Grade API 5CT Steel ,790.0,20.0,,,,https://drive.google.com/drive/folders/1Yk7HygbKwf0TyV3L0A_sSg5pZeNiP_n1,0.23,1.3,0.26,0.1,,,,,0.08,,,,,,,,98.03,,Austenizing → water quench,1.0,,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP-LAS__900.0__30.0,2,8_5_A_DP-LAS,DP-LAS,900.0,30.0,,,,https://drive.google.com/drive/folders/1yfjhpbX8WR7ao1RQC7dnZhIqoaDfgRV7,0.17,1.3,0.24,,,,,,0.97,,,,,,,,97.32,,,2.0,hot rolling,1050.0,69.0,,,,,,furnace ,25.0,,,770.0,30.0,,,,,ice water,0.0,,,,,,,,,,,,,,,,,,,,,
DP-LAS__900.0__30.0,2,8_5_B_DP-LAS,DP-LAS,900.0,30.0,,,,https://drive.google.com/drive/folders/1v3FIBhgG0ep8l6G8qVKEM4NBCGATZjdE,0.17,1.3,0.24,,,,,,0.97,,,,,,,,97.32,,,3.0,hot rolling,1050.0,69.0,,,,,,furnace ,25.0,,,770.0,30.0,,,,,ice water,0.0,,,550.0,20.0,,,,,air,25.0,,,,,,,,,,,
Ultrafine-grained DP__920.0__60.0,5,9_3_a_Ultrafine-grained DP,Ultrafine-grained DP,920.0,60.0,,,,https://drive.google.com/drive/folders/1SItPnhcFhj17NTFbepUqukqpzE6OL-0W,0.19,1.01,1.46,,,,,,,,,,,,,,97.34,,,2.0,,,,,,,,,water,25.0,,,820.0,10.0,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,
Ultrafine-grained DP__920.0__60.0,5,9_3_b_Ultrafine-grained DP,Ultrafine-grained DP,920.0,60.0,,,,https://drive.google.com/drive/folders/1U0jHQkCUpyRe7OJMxpNGXZFRyet8OghR,0.19,1.01,1.46,,,,,,,,,,,,,,97.34,,,2.0,,,,,,,,,water,25.0,,,820.0,10.0,,cold rolling,,85.0,water,25.0,,,,,,,,,,,,,,,,,,,,,
Ultrafine-grained DP__920.0__60.0,5,9_4_a_Ultrafine-grained DP,Ultrafine-grained DP,920.0,60.0,,,,https://drive.google.com/drive/folders/1ean4_If6fJj5kBUmAH47y_LcARmlKeez,0.19,1.01,1.46,,,,,,,,,,,,,,97.34,,,3.0,,,,,,,,,water,25.0,,,820.0,10.0,,cold rolling,,85.0,water,25.0,,,780.0,1.5,,,,,water,25.0,,,,,,,,,,,
Ultrafine-grained DP__920.0__60.0,5,9_4_b_Ultrafine-grained DP,Ultrafine-grained DP,920.0,60.0,,,,https://drive.google.com/drive/folders/1LAN5OMedXKU4OQo_uUjmSqD6MRl5q6pG,0.19,1.01,1.46,,,,,,,,,,,,,,97.34,,,3.0,,,,,,,,,water,25.0,,,820.0,10.0,,cold rolling,,85.0,water,25.0,,,800.0,1.5,,,,,water,25.0,,,,,,,,,,,
Ultrafine-grained DP__920.0__60.0,5,9_4_c_Ultrafine-grained DP,Ultrafine-grained DP,920.0,60.0,,,,https://drive.google.com/drive/folders/1Xv2ZsaOwg0GUGNrUC2XTl2FGuRgGUGC7,0.19,1.01,1.46,,,,,,,,,,,,,,97.34,,,3.0,,,,,,,,,water,25.0,,,820.0,10.0,,cold rolling,,85.0,water,25.0,,,820.0,1.5,,,,,water,25.0,,,,,,,,,,,
4340 low-alloy steels__860.0__60.0,10,10_2_a_4340 low-alloy steels,4340 low-alloy steels,860.0,60.0,,,,https://drive.google.com/drive/folders/1wMC34Kp7UP8AXidnI6jfT1R6dDr6XRae,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,96.43,,,2.0,,,,,,,,,forced air,25.0,,,720.0,30.0,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,
4340 low-alloy steels__860.0__60.0,10,10_2_b_4340 low-alloy steels,4340 low-alloy steels,860.0,60.0,,,,https://drive.google.com/drive/folders/1TgS6xWhRHSeCR1HG7vOL7MAGbf8GJ3jN,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,96.43,,,2.0,,,,,,,,,forced air,25.0,,,750.0,30.0,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,
4340 low-alloy steels__860.0__60.0,10,10_2_c_4340 low-alloy steels,4340 low-alloy steels,860.0,60.0,,,,https://drive.google.com/drive/folders/1d2m1kNpu4fy7CM0YGqj8afE09RdxQdeu,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,96.43,,,2.0,,,,,,,,,forced air,25.0,,,780.0,30.0,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,
4340 low-alloy steels__860.0__60.0,10,10_2_d_4340 low-alloy steels,4340 low-alloy steels,860.0,60.0,,,,https://drive.google.com/drive/folders/1RX6RG0pc6JYTuxKMKENW1n2UhkwT5uuF,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,96.43,,,2.0,,,,,,,,,forced air,25.0,,,810.0,30.0,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,
4340 low-alloy steels__860.0__60.0,10,10_2_e_4340 low-alloy steels,4340 low-alloy steels,860.0,60.0,,,,https://drive.google.com/drive/folders/112gvC7pbeo-Mhpf0UEAuiO5WmOfuDPJT,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,96.43,,,2.0,,,,,,,,,forced air,25.0,,,840.0,30.0,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,
4340 low-alloy steels__860.0__60.0,10,10_4_a_4340 low-alloy steels,4340 low-alloy steels,860.0,60.0,,,,https://drive.google.com/drive/folders/1oSh3xRQ0STNYgmulnrfLjY2YmWPOiLkD,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,96.43,,,3.0,,,,,,,,,forced air,25.0,,,720.0,30.0,,,,,water,25.0,,,500.0,120.0,,,,,water,25.0,,,,,,,,,,,
4340 low-alloy steels__860.0__60.0,10,10_4_b_4340 low-alloy steels,4340 low-alloy steels,860.0,60.0,,,,https://drive.google.com/drive/folders/1IvyYwkiHkwpVGa2-DDTTtSCzCBH7_Yxx,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,96.43,,,3.0,,,,,,,,,forced air,25.0,,,750.0,30.0,,,,,water,25.0,,,500.0,120.0,,,,,water,25.0,,,,,,,,,,,
4340 low-alloy steels__860.0__60.0,10,10_4_c_4340 low-alloy steels,4340 low-alloy steels,860.0,60.0,,,,https://drive.google.com/drive/folders/1fAs0JgIcXK1UHLhjLUzTxNYk0-woHvX5,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,96.43,,,3.0,,,,,,,,,forced air,25.0,,,780.0,30.0,,,,,water,25.0,,,500.0,120.0,,,,,water,25.0,,,,,,,,,,,
4340 low-alloy steels__860.0__60.0,10,10_4_d_4340 low-alloy steels,4340 low-alloy steels,860.0,60.0,,,,https://drive.google.com/drive/folders/14zR6gX5Gdjjj5m7igEQy4lexCwPcZAV3,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,96.43,,,3.0,,,,,,,,,forced air,25.0,,,810.0,30.0,,,,,water,25.0,,,500.0,120.0,,,,,water,25.0,,,,,,,,,,,
4340 low-alloy steels__860.0__60.0,10,10_4_e_4340 low-alloy steels,4340 low-alloy steels,860.0,60.0,,,,https://drive.google.com/drive/folders/1MZBcbDKtlIIdxf0gkBenOfrqNDRB2Jmg,0.4,0.65,0.22,0.76,,,0.19,,1.35,,,,,,,,96.43,,,3.0,,,,,,,,,forced air,25.0,,,840.0,30.0,,,,,water,25.0,,,500.0,120.0,,,,,water,25.0,,,,,,,,,,,
440C MSS__1050.0__60.0,1,11_1_a_440CMSS,440C MSS,1050.0,60.0,,,,https://drive.google.com/drive/folders/196iH5SS3LfgyKH2_JUZtdbWyz1YGjdcZ,1.19,0.448,0.571,15.86,0.0307,0.0237,0.816,,0.33,,,,,V=0.549+W=0.186+N=0.1,,,80.7306,,Austenizing → water quenching →tempered →air cooled,2.0,,,,,,,,,water,25.0,,,350.0,30.0,,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,
440C MSS__1100.0__60.0,1,11_1_b_440CMSS,440C MSS,1100.0,60.0,,,,https://drive.google.com/drive/folders/1UtwSRIGAtjSdFiXL-5iZmGTKaWxyZvFF,1.19,0.448,0.571,15.86,0.0307,0.0237,0.816,,0.33,,,,,V=0.549+W=0.186+N=0.1,,,80.7306,,Austenizing → water quenching →tempered →air cooled,2.0,,,,,,,,,water,25.0,,,350.0,30.0,,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,
440C MSS__1125.0__60.0,1,11_1_c_440CMSS,440C MSS,1125.0,60.0,,,,https://drive.google.com/drive/folders/1C1f0IjLJscZrOgweLuBwXq_TekHJtiE7,1.19,0.448,0.571,15.86,0.0307,0.0237,0.816,,0.33,,,,,V=0.549+W=0.186+N=0.1,,,80.7306,,Austenizing → water quenching →tempered →air cooled,2.0,,,,,,,,,water,25.0,,,350.0,30.0,,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,
440C MSS__1200.0__60.0,1,11_1_d_440CMSS,440C MSS,1200.0,60.0,,,,https://drive.google.com/drive/folders/1nYQ5P9ZwXr02R5DcOfvni8w7Y5evkX8l,1.19,0.448,0.571,15.86,0.0307,0.0237,0.816,,0.33,,,,,V=0.549+W=0.186+N=0.1,,,80.7306,,Austenizing → water quenching →heated→ water quenching →tempered →air cooled,3.0,,,,,,,,,water,25.0,,,900.0,60.0,,,,,water,25.0,,,350.0,30.0,,,,,air,25.0,,,,,,,,,,,
34CrNiMo6__830.0__60.0,4,12_9_a1_34CrNiMo6,34CrNiMo6,830.0,60.0,,,,https://drive.google.com/drive/folders/1DVIaftO8XdBSoaOALB4siesu6QGo6MiS,0.34,0.5,0.4,1.5,,,0.25,,1.5,,,,,,,,95.51,,Austenizing → oil quenching →tempered →air cooled,2.0,,,,,,,,,oil,25.0,,,460.0,120.0,,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,
34CrNiMo6__850.0__60.0,4,12_9_a2_34CrNiMo6,34CrNiMo6,850.0,60.0,,,,https://drive.google.com/drive/folders/1kOEEVdDAN03lN-DpDDAh2HMUhe4IVpiy,0.34,0.5,0.4,1.5,,,0.25,,1.5,,,,,,,,95.51,,Austenizing → oil quenching →tempered →air cooled,2.0,,,,,,,,,oil,25.0,,,460.0,120.0,,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,
34CrNiMo6__830.0__60.0,4,12_9_b1_34CrNiMo6,34CrNiMo6,830.0,60.0,,,,https://drive.google.com/drive/folders/1_BKKzqAz4aGDJKkmbZxqMbdlR9wDbXwO,0.34,0.5,0.4,1.5,,,0.25,,1.5,,,,,,,,95.51,,Austenizing → oil quenching →tempered →air cooled,2.0,,,,,,,,,oil,25.0,,,500.0,120.0,,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,
34CrNiMo6__850.0__60.0,4,12_9_b2_34CrNiMo6,34CrNiMo6,850.0,60.0,,,,https://drive.google.com/drive/folders/1dmQJFCFbcJp6OXsS1KPSTVaOf6NfNwja,0.34,0.5,0.4,1.5,,,0.25,,1.5,,,,,,,,95.51,,Austenizing → oil quenching →tempered →air cooled,2.0,,,,,,,,,oil,25.0,,,500.0,120.0,,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,
34CrNiMo6__830.0__60.0,4,12_9_c1_34CrNiMo6,34CrNiMo6,830.0,60.0,,,,https://drive.google.com/drive/folders/1YiiFk3VST9t4bo4ptA3OUCdMWUgsY_ht,0.34,0.5,0.4,1.5,,,0.25,,1.5,,,,,,,,95.51,,Austenizing → oil quenching →tempered →air cooled,2.0,,,,,,,,,oil,25.0,,,540.0,120.0,,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,
34CrNiMo6__850.0__60.0,4,12_9_c2_34CrNiMo6,34CrNiMo6,850.0,60.0,,,,https://drive.google.com/drive/folders/1X2cC0IVYh23KMqsddRQ0WsLy0m02zoDc,0.34,0.5,0.4,1.5,,,0.25,,1.5,,,,,,,,95.51,,Austenizing → oil quenching →tempered →air cooled,2.0,,,,,,,,,oil,25.0,,,540.0,120.0,,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,
34CrNiMo6__830.0__60.0,4,12_9_d1_34CrNiMo6,34CrNiMo6,830.0,60.0,,,,https://drive.google.com/drive/folders/1qMixHyiDJ5HiTheNysgDs1hYgW_lG5g4,0.34,0.5,0.4,1.5,,,0.25,,1.5,,,,,,,,95.51,,Austenizing → oil quenching →tempered →air cooled,2.0,,,,,,,,,oil,25.0,,,580.0,120.0,,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,
34CrNiMo6__850.0__60.0,4,12_9_d2_34CrNiMo6,34CrNiMo6,850.0,60.0,,,,https://drive.google.com/drive/folders/13Nw8D7ZOuPER-XKV7hkC3VhK0_DjtMgM,0.34,0.5,0.4,1.5,,,0.25,,1.5,,,,,,,,95.51,,Austenizing → oil quenching →tempered →air cooled,2.0,,,,,,,,,oil,25.0,,,580.0,120.0,,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,
DP-800__900.0__20.0,5,14_4_DP800,DP-800,900.0,20.0,,,,https://drive.google.com/drive/folders/1Bnzknk25MHh9he9cERUyNOP3zZiyA9-4,0.13,1.5,0.2,,0.01,0.002,,,,0.04,0.015,,,,,,98.103,,Austenizing → 10% hot rolling → water quenching → tempered → air cooled,2.0,,,,,,hot rolling,900.0,10.0,water,25.0,,,380.0,15.0,,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,
DP-800__900.0__20.0,5,14_5_DP800,DP-800,900.0,20.0,,,,https://drive.google.com/drive/folders/1_6r-q-cn-YYqjO26sd6mx6c07EJ_lMwB,0.13,1.5,0.2,,0.01,0.002,,,,0.04,0.015,,,,,,98.103,,Austenizing → 10% hot rolling → water quenching → tempered → air cooled,2.0,,,,,,hot rolling,900.0,10.0,water,25.0,,,380.0,30.0,,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,
DP-800__900.0__20.0,5,14_6_DP800,DP-800,900.0,20.0,,,,https://drive.google.com/drive/folders/1muqY-s5YoPkYc4e4MOpEh9NOUrY8TOGD,0.13,1.5,0.2,,0.01,0.002,,,,0.04,0.015,,,,,,98.103,,Austenizing → 10% hot rolling → water quenching → tempered → air cooled,2.0,,,,,,hot rolling,900.0,10.0,water,25.0,,,480.0,15.0,,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,
DP-800__900.0__20.0,5,14_7_DP800,DP-800,900.0,20.0,,,,https://drive.google.com/drive/folders/127RsCIms4llMuvhbHeqSY_6scInQpx2C,0.13,1.5,0.2,,0.01,0.002,,,,0.04,0.015,,,,,,98.103,,Austenizing → 10% hot rolling → water quenching → tempered → air cooled,2.0,,,,,,hot rolling,900.0,10.0,water,25.0,,,580.0,15.0,,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,
DP-800__900.0__20.0,5,14_8_DP800,DP-800,900.0,20.0,,,,https://drive.google.com/drive/folders/1H1uLwJC6lPA02JWgShfODEWDj3wGhAm7,0.13,1.5,0.2,,0.01,0.002,,,,0.04,0.015,,,,,,98.103,,Austenizing → 10% hot rolling → water quenching → tempered → air cooled,2.0,,,,,,hot rolling,900.0,10.0,water,25.0,,,680.0,15.0,,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,
DP steel__760.0__5.0,3,15_4_a_DP,DP steel,760.0,5.0,,,,https://drive.google.com/drive/folders/1DATVJDCTDFIcNuJRVWAMLvWIZF-mv7_o,0.07,1.22,0.51,,0.05,,,,,0.035,,,0.025,,,,98.09,,Cold-rolled → Austenizing  → water quenching,1.0,cold rolling,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__760.0__10.0,3,15_4_b_DP,DP steel,760.0,10.0,,,,https://drive.google.com/drive/folders/1ccN46jl_wUb80M-lluautHPIXx56JQ4X,0.07,1.22,0.51,,0.05,,,,,0.035,,,0.025,,,,98.09,,Cold-rolled → Austenizing  → water quenching,1.0,cold rolling,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__871.0__5.0,3,15_4_c_DP,DP steel,871.0,5.0,,,,https://drive.google.com/drive/folders/1g6j9TsXIs4IMVAYJTe7xoXns73sjbPLS,0.07,1.22,0.51,,0.05,,,,,0.035,,,0.025,,,,98.09,,Cold-rolled → Austenizing  → water quenching,1.0,cold rolling,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__871.0__10.0,3,15_4_d_DP,DP steel,871.0,10.0,,,,https://drive.google.com/drive/folders/1kqHCN37I7GjicodyP5j4LyLtoFRgQt1c,0.07,1.22,0.51,,0.05,,,,,0.035,,,0.025,,,,98.09,,Cold-rolled → Austenizing  → water quenching,1.0,cold rolling,,,,,,,,water,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__760.0__5.0,3,15_5_a_DP,DP steel,760.0,5.0,,,,https://drive.google.com/drive/folders/1aLy1vQSAnSa3NzvXMaUDFsNjIj7XmyOg,0.07,1.22,0.51,,0.05,,,,,0.035,,,0.025,,,,98.09,,Cold-rolled → Austenizing  → air cooling,1.0,cold rolling,,,,6.0,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__760.0__10.0,3,15_5_b_DP,DP steel,760.0,10.0,,,,https://drive.google.com/drive/folders/1du5RPEmpSBl7aLewEk1dlPz9XyijJfZd,0.07,1.22,0.51,,0.05,,,,,0.035,,,0.025,,,,98.09,,Cold-rolled → Austenizing  → air cooling,1.0,cold rolling,,,,6.0,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__871.0__5.0,3,15_5_c_DP,DP steel,871.0,5.0,,,,https://drive.google.com/drive/folders/1F-nP-hl1CN0hytbIT7pNdXkjIKaK7VXo,0.07,1.22,0.51,,0.05,,,,,0.035,,,0.025,,,,98.09,,Cold-rolled → Austenizing  → air cooling,1.0,cold rolling,,,,6.0,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP steel__871.0__10.0,3,15_5_d_DP,DP steel,871.0,10.0,,,,https://drive.google.com/drive/folders/1vUUpUlcwJLZgqyUWxQIFSTd_54s_mZ6Q,0.07,1.22,0.51,,0.05,,,,,0.035,,,0.025,,,,98.09,,Cold-rolled → Austenizing  → air cooling,1.0,cold rolling,,,,6.0,,,,air,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
